osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1029516178,23.6266652,75.4539031,MINING,,,,,quarry,,
way_1029516179,23.6194944,75.4176772,MINING,,,,,quarry,,
way_1029688716,23.719742,75.5510231,MINING,,,,,quarry,,
way_1029688736,23.7514403,75.5440199,MINING,,,,,quarry,,
way_1029688737,23.7454499,75.5348843,MINING,,,,,quarry,,
way_1029688738,23.7402081,75.5316871,MINING,,,,,quarry,,
way_1029688800,23.8390063,75.4222262,MINING,,,,,quarry,,
way_1029954697,23.9187115,75.3630888,MINING,,,,,quarry,,
way_1029954698,23.8729541,75.3369426,MINING,,,,,quarry,,
way_1029956235,23.9267878,75.3794638,MINING,,,,,quarry,,
way_1030034399,23.7878875,75.8401171,MINING,,,,,quarry,,
way_1030034400,23.7764228,75.7649454,MINING,,,,,quarry,,
way_1030034401,23.7563822,75.6894466,MINING,,,,,quarry,,
way_1030034994,23.9150166,76.0939867,MINING,,,,,quarry,,
way_1030034995,23.9224384,76.0943905,MINING,,,,,quarry,,
way_1030034996,23.9360941,76.0273406,MINING,,,,,quarry,,
way_1030034997,23.9299014,76.0950851,MINING,,,,,quarry,,
way_1030039509,23.630828,76.2770274,MINING,,,,,quarry,,
way_1030093262,23.7278528,75.8821365,MINING,,,,,quarry,,
way_1030093263,23.7268706,75.8792371,MINING,,,,,quarry,,
way_1030290580,23.7466947,75.9449512,MINING,,,,,quarry,,
way_1030376466,24.2319282,76.1515001,MINING,,,,,quarry,,
way_1030376467,24.2373175,76.1529874,MINING,,,,,quarry,,
way_1030599010,24.1689555,76.2808442,MINING,,,,,quarry,,
way_1030599019,24.1895193,76.4216763,MINING,,,,,quarry,,
way_1030599032,24.1847774,76.347414,MINING,,,,,quarry,,
way_1030603374,23.8458118,76.3873413,MINING,,,,,quarry,,
way_1030603440,24.0188706,76.4030832,MINING,,,,,quarry,,
way_1030725167,24.1282392,76.2995633,MINING,,,,,quarry,,
way_1030991308,24.0950847,83.9131699,MINING,,,,,quarry,,
way_1030994833,23.9228846,76.4409104,MINING,,,,,quarry,,
way_1031026557,24.0174288,83.9359934,MINING,,,,,quarry,,
way_1031026559,24.0431756,83.9609303,MINING,,,,,quarry,,
way_1031026560,24.0424187,83.9604016,MINING,,,,,quarry,,
way_1031026561,24.0416261,83.9632317,MINING,,,,,quarry,,
way_1031026562,24.0415209,83.965483,MINING,,,,,quarry,,
way_1031026581,24.0382973,83.9672484,MINING,,,,,quarry,,
way_1031026585,24.0496905,83.9539981,MINING,,,,,quarry,,
way_1031026592,24.0478161,83.9572728,MINING,,,,,quarry,,
way_1031026593,24.046633,83.9582056,MINING,,,,,quarry,,
way_1031026596,24.0335278,83.9737358,MINING,,,,,quarry,,
way_1031026597,24.0308249,83.972797,MINING,,,,,quarry,,
way_1031026604,24.0216672,83.9826638,MINING,,,,,quarry,,
way_1031026605,24.0245311,83.9781229,MINING,,,,,quarry,,
way_1031026606,24.022096,83.9769763,MINING,,,,,quarry,,
way_1031026607,24.0193484,83.979177,MINING,,,,,quarry,,
way_1031026608,24.019684,83.9778681,MINING,,,,,quarry,,
way_1031026609,24.0207007,83.9808749,MINING,,,,,quarry,,
way_1031026610,24.0100835,83.9665828,MINING,,,,,quarry,,
way_1031026611,24.0136649,83.9747635,MINING,,,,,quarry,,
way_1031026612,24.0118182,83.9800098,MINING,,,,,quarry,,
way_1031026613,24.013973,83.978831,MINING,,,,,quarry,,
way_1031026614,24.0166032,83.9820014,MINING,,,,,quarry,,
way_1031026615,24.0019967,83.9919565,MINING,,,,,quarry,,
way_1031027594,23.9906072,84.0432027,MINING,,,,,quarry,,
way_1031027595,23.9898512,84.0418884,MINING,,,,,quarry,,
way_1031107432,23.9906072,76.5836066,MINING,,,,,quarry,,
way_1031107433,23.9924353,76.588263,MINING,,,,,quarry,,
way_1031107442,23.9984387,76.5711209,MINING,,,,,quarry,,
way_1031316192,24.0274207,76.6105762,MINING,,,,,quarry,,
way_1031379839,23.8886139,76.8662095,MINING,,,,,quarry,,
way_1031379840,23.8849155,76.8635488,MINING,,,,,quarry,,
way_1031379841,23.8836304,76.8533134,MINING,,,,,quarry,,
way_1031379842,23.8864262,76.8575513,MINING,,,,,quarry,,
way_1031379919,23.8232351,76.6152513,MINING,,,,,quarry,,
way_1031379939,23.9137342,76.6490766,MINING,,,,,quarry,,
way_1031379944,23.9300412,76.747385,MINING,,,,,quarry,,
way_1031380034,24.011028,76.9643837,MINING,,,,,quarry,,
way_1031380035,24.0117901,76.9559321,MINING,,,,,quarry,,
way_1031380038,24.0400855,76.958161,MINING,,,,,quarry,,
way_1031380044,24.0305343,76.8283447,MINING,,,,,quarry,,
way_1031392214,24.0397144,76.8478887,MINING,,,,,quarry,,
way_1031392215,24.0419055,76.8434027,MINING,,,,,quarry,,
way_1031779526,23.7882827,76.6292417,MINING,,,,,quarry,,
way_1031779527,23.7863732,76.6306311,MINING,,,,,quarry,,
way_1031966312,24.0728637,76.9689757,MINING,,,,,quarry,,
way_1032476850,24.3011131,76.9302579,MINING,,,,,quarry,,
way_1032969961,24.3825425,84.1549482,MINING,,,,,quarry,,
