osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1369675119,25.3963222,83.1458218,INDUSTRIAL,Brick yards,,,,industrial,,
way_1369683726,28.2516619,84.4739051,INDUSTRIAL,Upper Dordi A,,plant,hydro,,,
way_1370848645,27.4266234,83.79297,INDUSTRIAL,Gandak HEP,,plant,hydro,,,
way_1371197839,25.6823746,84.7871321,INDUSTRIAL,Brick yards,,,,industrial,,
way_1371197851,25.6911775,84.7901066,INDUSTRIAL,Brick yards,,,,industrial,,
way_1371666424,28.1469137,81.6650212,INDUSTRIAL,Sikhar Ply,,,,,works,
way_1371666596,28.1344573,81.6682018,INDUSTRIAL,Dugar Group,,,,,works,
way_1372376642,25.3296753,82.9287481,INDUSTRIAL,Brick yards,,,,industrial,,
way_1373996642,27.7033947,84.4122083,INDUSTRIAL,Bhrikuti paper Factory,,,,,works,
way_1374441766,28.1603188,84.0570063,INDUSTRIAL,Yarsa Tech Pvt Ltd,,,,,works,
way_1374493107,25.0117136,75.2287396,INDUSTRIAL,,,,solar,industrial,,
way_1374493108,25.0014606,75.1936269,INDUSTRIAL,,,,solar,industrial,,
way_1374687011,24.3261916,79.968785,INDUSTRIAL,,,,,industrial,,
way_1375191884,25.4209228,81.8688317,INDUSTRIAL,Prayagraj RNG Private Limited,,plant,biogas,industrial,,
way_1375582288,25.2819399,83.2290297,INDUSTRIAL,Brick yards,,,,industrial,,
way_1375582296,25.2777085,83.2176937,INDUSTRIAL,Brick yards,,,,industrial,,
way_1377017662,27.5982803,79.137905,INDUSTRIAL,,,,,industrial,,
way_1377017663,27.5977901,79.1395549,INDUSTRIAL,,,,,industrial,,
way_1377017664,27.6011037,79.1375761,INDUSTRIAL,,,,,industrial,,
way_1377214416,30.5217124,75.894992,INDUSTRIAL,Acme Creations,factory,,,industrial,,
way_1380170722,27.5331936,83.409489,INDUSTRIAL,अर्घाखाँची सिमेन्ट उद्योग,factory,,,industrial,,
way_1385458005,27.4142381,83.8132774,INDUSTRIAL,Nawalpara,,plant,solar,,,
way_1385458249,28.1613495,81.5830507,INDUSTRIAL,Banke,,plant,solar,,,
way_1388308854,25.2028125,78.4371967,INDUSTRIAL,,,plant,solar,,,
way_1388421017,24.0036407,77.6934967,INDUSTRIAL,,,plant,solar,,,
way_1390388238,25.4982936,81.5950954,INDUSTRIAL,,brickyard,,,industrial,,
way_1390629810,30.7860765,75.9073292,INDUSTRIAL,,,plant,hydro,,,
way_1390666011,30.829817,75.9403148,INDUSTRIAL,,,,,industrial,,
way_1390666012,30.8289477,75.9414898,INDUSTRIAL,,,,,industrial,,
way_1390666915,30.8969231,76.0087931,INDUSTRIAL,,,,,industrial,,
way_1390666916,30.8964469,76.0102201,INDUSTRIAL,,,,,industrial,,
way_1390666917,30.8956655,76.0102079,INDUSTRIAL,,,,,industrial,,
way_1390666918,30.8952904,76.0102119,INDUSTRIAL,,,,,industrial,,
way_1390666919,30.8953201,76.0097363,INDUSTRIAL,,,,,industrial,,
way_1390666920,30.8973976,76.0097689,INDUSTRIAL,,,,,industrial,,
way_1390669481,30.878125,76.0320256,INDUSTRIAL,,,,,industrial,,
way_1390669482,30.8764874,76.0330419,INDUSTRIAL,,,,,industrial,,
way_1390685931,30.7376783,75.8298295,INDUSTRIAL,,,,,industrial,,
way_1391102017,30.8832416,75.9498447,INDUSTRIAL,,,,,industrial,,
way_1395282848,28.4341512,76.8011864,INDUSTRIAL,Maersk,,,,industrial,,
way_1395948877,28.7245215,76.7333472,INDUSTRIAL,,,,,industrial,,
way_1408253859,28.6059769,77.3908414,INDUSTRIAL,,,,,industrial,,
way_1408733577,28.4621275,77.5003102,INDUSTRIAL,,,,,industrial,,
way_1409695443,28.4256663,77.0042882,INDUSTRIAL,Rico Auto Industries Ltd,,,,industrial,,
way_1413099301,28.6811808,77.3884645,INDUSTRIAL,Sunrise Industrial Area,,,,industrial,,
way_1415170718,28.0404548,78.7891361,INDUSTRIAL,,,plant,solar,,,
way_1415170719,28.0383257,78.7919209,INDUSTRIAL,,,plant,solar,,,
way_1415689909,27.5442005,79.1607332,INDUSTRIAL,,,,,industrial,,
way_1415693720,27.4896689,79.1598347,INDUSTRIAL,,,,,industrial,,
way_1415693746,27.5775553,79.1095715,INDUSTRIAL,,,,,industrial,,
way_1415706780,27.5195387,79.1171271,INDUSTRIAL,,,,,industrial,,
way_1420299077,28.6306173,77.1297881,INDUSTRIAL,Food Corporation of India Mayapuri Depot,warehouse,,,industrial,,
way_1420982676,30.6833831,75.0569303,INDUSTRIAL,SM,brickyard,,,industrial,,
way_1420983669,30.6840707,75.0544829,INDUSTRIAL,gadam,warehouse,,,industrial,,
way_1420995381,30.682746,75.0594723,INDUSTRIAL,,warehouse,,,industrial,,
way_1420995386,30.6827181,75.0576426,INDUSTRIAL,,,,,industrial,,
way_1421049188,30.6827247,75.0555163,INDUSTRIAL,,,,,industrial,,
way_1421110326,27.5905727,77.1308758,INDUSTRIAL,"Power House, Kaithwara",,plant,,industrial,,
way_1421530355,28.7037666,77.3556912,INDUSTRIAL,,,plant,solar,,,
way_1421557506,30.9896658,75.6964755,INDUSTRIAL,,,,,industrial,,
way_1421563479,30.9881908,75.6733892,INDUSTRIAL,,,,,industrial,,
way_1422149357,30.9809981,75.6693689,INDUSTRIAL,,,,,industrial,,
way_1422450005,27.4697642,83.10626,INDUSTRIAL,Bhardvaj Oil Udyog,factory,,,industrial,,
way_1422477310,24.6864202,84.9889749,INDUSTRIAL,Brick yards,,,,industrial,,
way_1422651080,30.9757749,75.6925242,INDUSTRIAL,,,,,industrial,,
way_1422677646,30.9643638,75.6764599,INDUSTRIAL,,warehouse,,,industrial,,
way_1422677648,30.9591808,75.672959,INDUSTRIAL,,brickyard,,,industrial,,
way_1422686420,30.9574352,75.6729845,INDUSTRIAL,,,,,industrial,,
way_1423830044,24.7997265,84.9721417,INDUSTRIAL,,,,,industrial,,
way_1424598797,28.541119,77.2782849,INDUSTRIAL,,,,,industrial,,
way_1424598799,28.541461,77.2780653,INDUSTRIAL,,,,,industrial,,
way_1424598804,28.5412855,77.2781744,INDUSTRIAL,,,,,industrial,,
way_1424598806,28.5418025,77.2778421,INDUSTRIAL,,,,,industrial,,
way_1424598808,28.541626,77.2779582,INDUSTRIAL,,,,,industrial,,
way_1424605645,28.5412337,77.2774618,INDUSTRIAL,Iki Chic Private Limited,,,,industrial,,
way_1424605646,28.5414422,77.2773363,INDUSTRIAL,,,,,industrial,,
way_1424605647,28.5403732,77.2779698,INDUSTRIAL,Delhivery,warehouse,,,industrial,,
way_1424605648,28.5413424,77.2773973,INDUSTRIAL,,,,,industrial,,
way_1424605649,28.540859,77.2777034,INDUSTRIAL,,,,,industrial,,
way_1424605653,28.5410216,77.277598,INDUSTRIAL,,,,,industrial,,
way_1424605656,28.541543,77.2772724,INDUSTRIAL,,,,,industrial,,
way_1424605658,28.5411289,77.2775299,INDUSTRIAL,,,,,industrial,,
way_1425911829,30.4145745,76.8820465,INDUSTRIAL,,,,,industrial,,
way_1426841892,24.879722,84.867561,INDUSTRIAL,Brick yards,,,,industrial,,
way_1426841893,24.8828263,84.8731818,INDUSTRIAL,Brick yards,,,,industrial,,
way_1426841894,24.8806207,84.8723601,INDUSTRIAL,Brick yards,,,,industrial,,
way_1427032666,28.2236264,77.6005453,INDUSTRIAL,,,,,industrial,,
way_1427034783,28.2573381,77.6092297,INDUSTRIAL,,,,,industrial,,
way_1427034784,28.2570925,77.612561,INDUSTRIAL,,,,,industrial,,
way_1427912946,28.5293765,77.2333002,INDUSTRIAL,,construction,,,industrial,,
